Opção,Progressista,Liberal,Conservador
Concordo Totalmente,2,-2,1
Concordo,1,-1,0
Discordo,-1,1,0
Discordo Totalmente,-2,2,0
Concordo Totalmente,2,-2,0
Concordo,1,-1,0
Discordo,-1,1,0
Discordo Totalmente,-2,2,0
Concordo Totalmente,-1,-2,2
Concordo,0,-1,1
Discordo,0,1,-1
Discordo Totalmente,1,1,-2
Concordo Totalmente,-2,2,0
Concordo,-1,1,0
Discordo,1,-1,0
Discordo Totalmente,2,-2,0
Concordo Totalmente,1,2,-2
Concordo,1,1,-1
Discordo,0,0,1
Discordo Totalmente,-1,-1,2
Concordo Totalmente,2,-2,0
Concordo,1,-1,0
Discordo,-1,1,0
Discordo Totalmente,-2,2,0
Concordo Totalmente,-1,-2,2
Concordo,0,-1,1
Discordo,0,1,-1
Discordo Totalmente,1,1,-2
Concordo Totalmente,-2,2,0
Concordo,-1,1,0
Discordo,1,-1,0
Discordo Totalmente,2,-2,0
Concordo Totalmente,1,2,-2
Concordo,1,1,-1
Discordo,0,0,1
Discordo Totalmente,-1,-1,2
Concordo Totalmente,1,2,-2
Concordo,1,1,-1
Discordo,0,0,1
Discordo Totalmente,1,-1,2
