decisaoId,fase,titulo,contexto,situacao,pergunta,ativo,ordem,opcaoLetra,opcaoTexto,opcaoTipo,custoDinheiro,custoTempo,custoEnergia,impactoVotos,impactoContatos,impactoReputacao,feedbackEducacional,dicaVitorino
1.1,1,Preparação para a Campanha,Você acordou decidido: vai disputar uma vaga na Câmara de Vereadores. Só que entre querer ser candidato e saber fazer campanha tem um abismo. A maioria dos que perdem não perde por falta de vontade – perde porque não sabe jogar esse jogo.,,Como você vai se preparar para a campanha?,True,0,A,Investir no curso euvereador.com.br,excelente,299.0,0,0,12.0,10,5.0,"Você fez a escolha mais inteligente possível neste momento. Campanha eleitoral é técnica, é método, é ciência. Candidatos preparados têm 3 vezes mais chances de vitória porque não cometem os erros básicos que eliminam 80% dos concorrentes.",Sabe qual é a diferença entre candidato que ganha e candidato que perde? O que ganha estudou antes de sair pedindo voto. Já vi advogado brilhante perder pra pedreiro porque o pedreiro entendeu que campanha não é sobre ser bom – é sobre parecer a melhor opção.
1.1,1,Preparação para a Campanha,Você acordou decidido: vai disputar uma vaga na Câmara de Vereadores. Só que entre querer ser candidato e saber fazer campanha tem um abismo. A maioria dos que perdem não perde por falta de vontade – perde porque não sabe jogar esse jogo.,,Como você vai se preparar para a campanha?,True,1,B,Estudar por conta própria,gratuito) ✅ (boa,0.0,20,0,2.5,3,2.0,"Você está no caminho certo ao buscar conhecimento. Mas estudar sozinho tem uma armadilha: você não sabe o que não sabe. Pode perder semanas em estratégias ultrapassadas ou dicas de ""gurus de internet"" que nunca elegeram ninguém.","Estudar por conta é válido, mas cuidado com as fontes. A internet está cheia de gente ensinando a fazer campanha que nunca pisou num comitê. Busque quem tem resultado comprovado, não quem tem mais seguidores."
1.1,1,Preparação para a Campanha,Você acordou decidido: vai disputar uma vaga na Câmara de Vereadores. Só que entre querer ser candidato e saber fazer campanha tem um abismo. A maioria dos que perdem não perde por falta de vontade – perde porque não sabe jogar esse jogo.,,Como você vai se preparar para a campanha?,True,2,C,Pedir conselhos para vereadores conhecidos,neutra,0.0,10,0,1.0,5,0.0,"Ouvir quem já passou pelo processo tem valor, mas vem com um risco grande: muitos vereadores foram eleitos numa época completamente diferente. O que funcionava em 2016 pode ser inútil em 2028. E tem outro problema: nem todo eleito sabe explicar como ganhou.","Vereador experiente pode te ensinar sobre o dia a dia do mandato, mas nem sempre sobre como vencer eleição. O jogo mudou: redes sociais, dados, segmentação... tem muita coisa que não existia quando a maioria deles se elegeu."
1.1,1,Preparação para a Campanha,Você acordou decidido: vai disputar uma vaga na Câmara de Vereadores. Só que entre querer ser candidato e saber fazer campanha tem um abismo. A maioria dos que perdem não perde por falta de vontade – perde porque não sabe jogar esse jogo.,,Como você vai se preparar para a campanha?,True,3,D,Não se preparar e confiar na intuição,ruim,0.0,0,0,-5.0,0,-3.0,"Você está apostando tudo na sorte numa disputa onde a maioria perde. Campanha eleitoral tem regras específicas, técnicas testadas e armadilhas que você nem imagina que existem. Confiar só no instinto é como entrar numa cirurgia achando que bom senso substitui medicina.","Confiar só na intuição é receita pra fracasso. Todo mundo que perde acha que 'da próxima vez' vai dar certo. Mas quem não aprende com os erros repete eles. E em política, às vezes não tem próxima vez."
1.2,1,Pesquisa de Público-Alvo,"Você decidiu ser candidato, mas candidato de quem? A cidade tem milhares de eleitores e você não vai conseguir falar com todos. Pior: se tentar agradar todo mundo, não vai conquistar ninguém. Antes de sair fazendo campanha, você precisa descobrir quem são as pessoas que mais provavelmente vão votar em você.",,Como você vai identificar seu público-alvo?,True,0,A,Contratar pesquisa profissional,excelente,5000.0,0,0,7.0,8,5.0,"Pesquisa profissional é o investimento mais rentável que existe em campanha. Você vai descobrir ONDE estão seus eleitores, QUEM são, O QUE pensam e COMO alcançá-los. Com esses dados, cada real gasto na campanha vai render muito mais.","Dados valem ouro. Saber que 60% dos seus potenciais eleitores são mulheres de 30-45 anos, mães, que usam Facebook e se preocupam com educação... isso muda TUDO. Você para de atirar no escuro e começa a acertar o alvo."
1.2,1,Pesquisa de Público-Alvo,"Você decidiu ser candidato, mas candidato de quem? A cidade tem milhares de eleitores e você não vai conseguir falar com todos. Pior: se tentar agradar todo mundo, não vai conquistar ninguém. Antes de sair fazendo campanha, você precisa descobrir quem são as pessoas que mais provavelmente vão votar em você.",,Como você vai identificar seu público-alvo?,True,1,B,Fazer pesquisa informal,conversar com pessoas) ✅ (boa,0.0,15,0,3.5,5,2.0,"Conversar com pessoas te dá insights valiosos que nenhum número consegue captar. Você entende as dores reais, os sonhos, as frustrações. O problema é que sua amostra é pequena e pode não representar a realidade da cidade.","Pesquisa informal é ótima pra entender o 'clima' da cidade, mas não substitui dados quantitativos. Use as duas coisas: dados pra saber os números, conversa pra entender as histórias por trás dos números."
1.2,1,Pesquisa de Público-Alvo,"Você decidiu ser candidato, mas candidato de quem? A cidade tem milhares de eleitores e você não vai conseguir falar com todos. Pior: se tentar agradar todo mundo, não vai conquistar ninguém. Antes de sair fazendo campanha, você precisa descobrir quem são as pessoas que mais provavelmente vão votar em você.",,Como você vai identificar seu público-alvo?,True,2,C,Analisar redes sociais e grupos locais,boa,0.0,10,0,3.5,4,2.0,"Redes sociais e grupos locais são termômetros do que as pessoas estão falando. Você consegue identificar temas quentes, reclamações recorrentes e lideranças de opinião que podem virar aliados ou obstáculos.","Grupos de WhatsApp e Facebook da cidade são minas de ouro. Ali você vê o que realmente importa pro povo, sem filtro. Quer saber o que irrita o eleitor? Entra num grupo de bairro e lê as reclamações."
1.2,1,Pesquisa de Público-Alvo,"Você decidiu ser candidato, mas candidato de quem? A cidade tem milhares de eleitores e você não vai conseguir falar com todos. Pior: se tentar agradar todo mundo, não vai conquistar ninguém. Antes de sair fazendo campanha, você precisa descobrir quem são as pessoas que mais provavelmente vão votar em você.",,Como você vai identificar seu público-alvo?,True,3,D,"Não fazer pesquisa, confiar no feeling",ruim,0.0,0,0,-3.0,0,-2.0,"Você está apostando que conhece a cidade melhor do que ela conhece a si mesma. O problema é que todo mundo vive numa bolha – você conversa com as mesmas pessoas, frequenta os mesmos lugares. Sem pesquisa, você vai descobrir que estava errado só depois de perder.","Feeling é importante, mas não substitui dados. Já vi candidato convicto de que ia ganhar – porque todo mundo que ele conhecia ia votar nele. Problema: ele só conhecia 500 pessoas numa cidade de 50 mil."
1.3,1,Definição de Posicionamento Político,"Nas primeiras conversas sobre sua candidatura, a pergunta aparece sempre: ""mas você é de esquerda ou de direita?"". Alguns dizem que você precisa ser pragmático pra ampliar alcance. Outros insistem em bandeira clara. Candidato sem posicionamento vira paisagem – mas posicionamento errado fecha portas que você pode precisar abrir.",,Como você vai se posicionar politicamente?,True,0,A,Posicionamento ideológico claro e firme,boa,0.0,0,0,9.5,12,2.0,"Você está sendo autêntico, e autenticidade é moeda rara em política. Eleitores valorizam candidatos que têm convicções claras e não mudam de opinião conforme a conveniência. Seu posicionamento firme vai atrair pessoas que pensam como você e criar uma base leal que não te abandona na primeira dificuldade.","Já vi candidato tentar agradar todo mundo e terminar não agradando ninguém. Posicionamento claro atrai quem pensa como você – e repele quem não pensa. Isso é bom, porque você precisa de base fiel, não de simpatia genérica."
1.3,1,Definição de Posicionamento Político,"Nas primeiras conversas sobre sua candidatura, a pergunta aparece sempre: ""mas você é de esquerda ou de direita?"". Alguns dizem que você precisa ser pragmático pra ampliar alcance. Outros insistem em bandeira clara. Candidato sem posicionamento vira paisagem – mas posicionamento errado fecha portas que você pode precisar abrir.",,Como você vai se posicionar politicamente?,True,1,B,Posicionamento pragmático e moderado,boa,0.0,0,0,6.0,8,2.0,"Você optou pelo caminho do meio, focando em soluções práticas em vez de bandeiras ideológicas. Isso amplia seu alcance, mas vem com um risco: pode te fazer parecer ""sem personalidade"" pra eleitores mais engajados que querem ver paixão.","Pragmatismo funciona quando você traduz isso em propostas concretas. Não seja 'morno' – seja o candidato das soluções. Tem gente que não quer saber de briga esquerda-direita, quer resolver problema. Fale com essas pessoas."
